a_id,a_id,a_name,a_country,a_city,a_prov,a_web
3785,5758,luciano feijao faculty,brazil,sobral,ceara,http://www.flucianofeijao.com.br
3787,5760,rui barbosa lutheran faculty,brazil,marechal candido rondon,pr,http://www.falurb.edu.br
3789,5762,machado sobrinho faculty,brazil,juiz de fora,minas gerais,http://www.machadosobrinho.com.br
3791,5770,faculty maringa,brazil,maringa,parana,http://www.faculdadesmaringa.br
3792,5779,mercurio faculty,brazil,rio de janeiro,rj,http://www.famerc.com.br
3794,5785,holy spirit methodist faculty,brazil,vila velha,espirito santo,http://www.metodistaes.edu.br
3796,5792,metropolitan faculty amazon,brazil,belem,pennsylvania,http://www.famaz.edu.br
3797,5794,metropolitan faculty caieiras,brazil,caieiras,sp,http://www.fmccaieiras.edu.br
3798,5795,metropolitan faculty camacari,brazil,camacari,ba,http://www.famec.edu.br
3799,5803,michaelangelo faculty,brazil,brasilia,df,http://www.jk.edu.br
3800,5808,monteiro lobato faculty,brazil,porto alegre,rs,http://www.monteirolobato.edu.br
3801,5811,montessori faculty salvador,brazil,salvador,ba,http://www.montessoriano.com.br/faculdade
3802,5812,moraes junior mackenzie rio faculty,brazil,rio de janeiro,rio de janeiro,http://www.mackenzie-rio.edu.br
3804,5816,faculty mundial foundation,brazil,sao paulo,sp,http://www.faculdademundial.com.br
3805,5817,municipal faculty palhoca,brazil,palhoca,,http://www.fmpsc.edu.br
3806,5818,professor franco montoro municipal faculty mogi guacu,brazil,mogi guacu,sao paulo,http://www.fmpfm.edu.br
3807,5822,university centre rio grande do norte,brazil,natal,rio grande do norte,http://www.farn.br
3810,5830,uninovafapi university centre,brazil,teresina,piaui,http://www.novafapi.com.br
3811,5831,faculty novo hamburgo ienh faculty,brazil,novo hamburgo,rs,http://www.ienh.com.br
3812,5837,origenes lessa faculty,brazil,lencois paulista,sp,http://www.facol.br
3813,5838,writer osman da costa lins faculty,brazil,vitoria,pe,http://www.facol.net
3814,5844,palotina faculty,brazil,santa maria,rs,http://www.fapas.edu.br
3815,5845,pan american faculty,brazil,capanema,,http://www.fpa.edu.br
3816,5846,panamerican faculty ji parana,brazil,ji parana,ro,http://www.unijipa.edu.br
3818,5851,faculty parana,brazil,rolandia,pr,http://www.faccar.com.br
3820,5854,faculty arts sao paulo,brazil,sao paulo,sao paulo,http://www.fpa.art.br
3821,5858,faculty social services sao paulo,brazil,sao paulo,sao paulo,http://www.fapss.br
3822,5859,faculty social services sao caetano do sul,brazil,sao caetano do sul,sao paulo,http://fapss.net
3823,5860,paulus faculty technology communication,brazil,sao paulo,sp,http://www.fapcom.com.br
3828,5896,gammon presbyterian faculty,brazil,lavras,minas gerais,http://www.fagammon.edu.br
3830,5900,professor miguel angelo da silva santos faculty,brazil,macae,rj,http://www.macae.rj.gov.br/femass
3838,5925,salesian faculty north east,brazil,recife,pernambuco,http://www.fasne.edu.br
3840,5927,dom bosco salesian faculty piracicaba,brazil,piracicaba,sp,www.domboscopira.com.br
3842,5929,saint catherine faculty,brazil,recife,pe,http://www.faculdadesantacatarina.com.br
3843,5930,saint cecilia faculty,brazil,pindamonhangaba,sp,http://www.fascpinda.com.br
3844,5935,saint helena faculty,brazil,recife,pernambuco,http://www.fsh.edu.br
3845,5937,saint lucy faculty,brazil,mogi mirim,sp,http://www.santalucia.br
3846,5938,saint marcelina faculty,brazil,sao paulo,sao paulo,http://www.fasm.edu.br
3848,5946,santa terezinha faculty,brazil,sao luis,maranhao,http://www.cest.edu.br
3852,5956,saint camilo faculty belo horizonte,brazil,belo horizonte,mg,http://www.saocamilo-mg.br
3859,5973,saint louis faculty,brazil,brusque,south carolina,http://www.faculdadesaoluiz.edu.br/
3861,5983,satc faculty,brazil,criciuma,south carolina,http://www.portalsatc.com
3863,5986,senac minas faculty,brazil,contagem,mg,http://www.mg.senac.br/faculdade
3865,5988,senac rs faculty porto alegre,brazil,porto alegre,rs,http://www.senacrs.com.br
3866,5990,senai faculty environmental technology,brazil,sao bernardo do campo,sp,http://www.sp.senai.br/meioambiente
3867,5991,senai faculty graphic technology,brazil,sao paulo,sao paulo,http://www.sp.senai.br
3868,5992,senai faculty mechatronic technology,brazil,sao caetano do sul,sao paulo,http://www.sp.senai.br
3871,6001,silva souza integrated faculties,brazil,rio de janeiro,rio de janeiro,
3874,6008,union schools paraiso faculty south west sao paulo,brazil,sao paulo,sp,http://www.uniesp.edu.br/fasup/faculdade.asp
3876,6018,tamandare faculty,brazil,goiania,go,http://www.faculdadetamandare.com.br
3878,6026,faculty tres de maio,brazil,tres de maio,rs,http://www.setrem.com.br
3879,6028,triangulo mineiro faculty,brazil,ituiutaba,minas gerais,http://www.ftm.edu.br
3880,6031,uniao business school,brazil,sao paulo,sp,http://www.faculdadeuniao.edu.br/
3881,6033,union americas faculty,brazil,foz do iguacu,pr,http://www.uniamerica.br
3884,6038,united faculty vitoria,brazil,vitoria,es,http://www.faculdadeunida.com.br
3885,6039,unigran capital faculty,brazil,campo grande,mississippi,http://www.unigrancapital.com.br
3888,6043,union schools paraiso unissa faculty sarandi,brazil,sarandi,pr,http://www.uniesp.edu.br/sarandi
3889,6047,vasco de gama faculty,brazil,salvador,ba,http://www.faculdadevascodagama.com.br
3892,6053,vitoria association higher education faculty technology vitoria,brazil,vitoria,espirito santo,
3893,6054,vale do iguacu faculty dois vizinhos,brazil,dois vizinhos,pr,http://www.vizivali.edu.br
3894,6056,zacarias de goes faculty,brazil,valenca,ba,http://www.fazag.edu.br
3895,6057,zumbi dos palmares faculty,brazil,sao paulo,sp,http://www2.zumbidospalmares.edu.br
3896,6059,bahia adventist university,brazil,cachoeira,bahia,http://www.adventista.edu.br
3897,6062,associated faculties uberaba,brazil,uberaba,minas gerais,http://www.fazu.br
3901,6073,faculty santos dumont,brazil,santos dumont,mg,http://www.fsd.edu.br
3902,6074,integrated faculties taquara,brazil,taquara,rs,http://www.faccat.br
3906,6085,union schools paraiso fleming faculty,brazil,campinas,sp,http://www.faculdadefleming.edu.br
3907,6089,cnec unai faculty,brazil,unai,minas gerais,http://www.inesc.br
3910,6092,antonio eufrasio de toledo university centre presidente prudente,brazil,presidente prudente,sao paulo,http://www.toledoprudente.edu.br
3912,6099,integrated faculties campo grande,brazil,rio de janeiro,rio de janeiro,http://www.feuc.br
3914,6102,integrated faculties heart jesus,brazil,santo andre,sp,http://www.fainc.com.br
3915,6106,integrated faculties upis,brazil,brasilia,df,http://www.upis.br
3916,6108,integrated faculties ariquemes,brazil,ariquemes,rondonia,http://www.fiar.com.br
3919,6112,integrated faculties caratinga,brazil,caratinga,minas gerais,http://www.doctum.edu.br
3920,6114,integrated faculties cataguases,brazil,cataguases,minas gerais,http://www.unis.edu.br
3921,6115,integrated faculties human sciences health education guarulhos,brazil,guarulhos,sao paulo,http://www.faculdadesdeguarulhos.edu.br
3922,6117,integrated faculties cruzeiro,brazil,cruzeiro,sp,http://www.faculdadefic.com.br
3923,6118,integrated faculties diamantino,brazil,diamantino,mato grosso,http://www.fidedu.com.br
3925,6125,integrated faculties navirai,brazil,navirai,mississippi,http://www.finav.br
3926,6126,union schools paraiso integrated faculties nova andradina,brazil,nova andradina,mississippi,http://www.uniesp.edu.br/finan
3929,6129,integrated faculties patos,brazil,patos,pb,http://www.fiponline.com.br
3930,6130,integrated faculties ponta pora,brazil,ponta pora,mato grosso do sul,http://www.fipmagsul.com.br
3931,6131,integrated faculties ribeirao pires,brazil,ribeirao pires,sao paulo,http://www.firp.edu.br
3933,6138,integrated faculties tres lagoas,brazil,tres lagoas,mississippi,http://www.aems.com.br
3935,6145,integrated faculties valley ivai,brazil,ivaipora,parana,http://www.univale.com.br
3936,6148,dom pedro ii integrated faculties,brazil,sao jose do rio preto,sao paulo,http://www.dompedro.com.br
3937,6149,einstein integrated faculties limeira,brazil,limeira,sao paulo,http://www.einsteinlimeira.com.br
3940,6154,helio alonso integrated faculties,brazil,rio de janeiro,rio de janeiro,http://www.facha.edu.br
3944,6165,integrated regional faculties avare,brazil,avare,sao paulo,http://www.fira.edu.br
3946,6168,integrated faculties santa cruz de curitiba,brazil,curitiba,parana,http://www.santacruz.br
3947,6169,saint jude thaddeus integrated faculties,brazil,porto alegre,rio grande do sul,http://www.saojudastadeu.com.br
3948,6170,integrated faculties sao pedro,brazil,sao pedro,espirito santo,http://www.faesa.br
3949,6172,simonsen integrated faculties,brazil,rio de janeiro,rio de janeiro,http://www.simonsen.br
3951,6174,stella maris integrated faculties andradina,brazil,andradina,sao paulo,http://www.fea.br
3952,6175,teresa avila integrated faculties lorena,brazil,lorena,sao paulo,http://www.fatea.br
3953,6177,tibirica integrated faculties,brazil,sao paulo,sao paulo,
3954,6179,icesp faculties,brazil,brasilia,df,http://www.icesp.br
3957,6186,magsul faculties,brazil,ponta pora,mato grosso do sul,http://magsul-ms.com.br/faculdade
3958,6187,university center united metropolitan faculties,brazil,sao paulo,sao paulo,http://www.fmu.br
3962,6193,pestalozzi faculties,brazil,niteroi,rio de janeiro,http://www.pestalozzi.org.br
3963,6195,promove faculties,brazil,belo horizonte,minas gerais,http://www.faculdadepromove.br
3965,6200,saint camilo faculty rio de janeiro,brazil,rio de janeiro,rio de janeiro,http://www.saocamilo-rj.br
3969,6207,united faculties north minas,brazil,montes claros,minas gerais,http://www.funorte.com.br
3973,6214,university medical sciences cienfuegos,cuba,cienfuegos,,http://www.ucm.cfg.sld.cu
3974,6215,university medical sciences granma,cuba,manzanillo,,
3976,6218,medical university dr juan guiteras gener matanzas,cuba,matanzas,,http://www.mtz.sld.cu
3977,6219,university medical sciences pinar del rio,cuba,pinar del rio,pinar del rio,
3978,6220,university medical sciences sancti spiritu,cuba,sancti spiritu,,
3979,6221,zoilo marinello university medical sciences las tunas,cuba,tunas,,
3980,6222,faculty law national bar lawyers,mexico,mexico,d.f.,http://www.bna.edu.mx
3981,6223,faculty design graphic communication,mexico,chihuahua,chihuahua,http://www.escograf.com
3984,6226,latin american faculty social sciences,ecuador,quito,pichincha,http://www.flacso.edu.ec
3985,6227,latin american faculty social sciences,mexico,mexico,d.f.,http://www.flacso.edu.mx
3986,6228,private faculty law monterrey,mexico,santa catarina,nuevo leon,http://www.fldm.edu.mx
3989,6234,fairfield university,united states,fairfield,connecticut,http://www.fairfield.edu
3990,6235,fairland university,uganda,jinja,,http://fairlanduniversity.com/default.aspx
3991,6236,fairleigh dickinson university,united states,teaneck,new jersey,http://ww.fdu.edu
3996,6241,faculty public administration european studies,montenegro,podgorica,,http://www.fdes.me/
3997,6243,faculty traffic communication management,montenegro,berane,,http://www.fskl.me
4002,6248,faculty media studies,slovenia,ljubljana,,http://www.fame.si/
4003,6249,alma mater europea ish,slovenia,ljubljana,,http://www.ish.si/
4006,6252,falmouth university,united kingdom,falmouth,,http://www.falmouth.ac.uk
4007,6253,fanshawe college,canada,london,ontario,http://fanshawec.ca/
4008,6254,far east university,south korea,eumseong,chungbuk-do,http://www.kdu.ac.kr
4009,6255,far east university,taiwan,tainan,,http://www.feu.edu.tw/feu-english/all.htm
4010,6256,far eastern polytechnic college,philippines,dasmarinas,cavite,
4012,6258,far eastern university feu dr nicanor reyes medical foundation,philippines,quezon city,"second district, metro manila",http://www.feu-nrmf.ph
4013,6259,far eastern university feu fern college,philippines,quezon city,"second district, metro manila",http://www.feufern.edu.ph
4015,6261,farabi college science technology,iran,tehran,,
4016,6262,fergana state university,uzbekistan,fergana,,http://www.fdu.uz
4017,6263,fergana polytechnic institute,uzbekistan,fergana,,http://www.ferpi.uz/
4019,6266,fashion institute technology,united states,new york,new york,http://www.fitnyc.edu
4020,6267,fatemieh qom university medical sciences,iran,qom,,
4023,6270,fatih university,turkey,istanbul,,http://www.fatih.edu.tr
4024,6271,fatima college camiguin,philippines,mambajao,camiguin,
4026,6274,faulkner university,united states,montgomery,alabama,http://www.faulkner.edu
4027,6275,fayetteville state university,united states,fayetteville,north carolina,http://www.uncfsu.edu
4028,6276,fayoum university,egypt,fayoum,,http://www.fayoum.edu.eg
4029,6277,feati university,philippines,manila,"first district, metro manila",http://www.featiu.edu.ph
4030,6280,federal college fisheries marine technology,nigeria,lagos,,http://www.marinecollege-edu.org/
4032,6297,federal university ndufu alike ikwo,nigeria,abakaliki,ebonyi state,http://www.funai.edu.ng
4034,6299,university agriculture makurdi,nigeria,makurdi,benue state,http://www.uam.edu.ng
4039,6304,federal university dutse,nigeria,dutse,jigawa state,http://www.fud.edu.ng/
4041,6306,federal university kashere,nigeria,kashere,gombe state,http://fukashere.edu.ng/
4046,6311,federal university wukari,nigeria,wukari,taraba state,http://www.fuwukari.edu.ng/
4048,6322,felician college,united states,lodi,new jersey,http://www.felician.edu/
4050,6324,felix o alfelor sr foundation college,philippines,sipocot,carmarines sur,
4051,6325,fellowship baptist college,philippines,city kabankalan,negros occidental,
4052,6326,feng chia university,taiwan,taichung,,http://www.fcu.edu.tw
4056,6330,university hagen,germany,hagen,,http://www.fernuni-hagen.de/
4058,6333,ferrum college,united states,ferrum,virginia,http://www.ferrum.edu
4059,6334,university applied sciences joanneum,austria,graz,styria,http://www.fh-joanneum.at
4060,6335,fhwien university applied sciences,austria,wien,vienna,http://www.fh-wien.ac.at
4061,6336,fielding graduate university,united states,santa barbara,california,http://www.fielding.edu
4062,6340,fiji national university,fiji,nasinu,,http://www.fnu.ac.fj/new/
4064,6342,film academy miroslava ondricek pisek p b c,czech republic,pisek,,http://www.filmovka.cz/
4065,6343,financial academy,armenia,yerevan,,http://www.finacademy.am
4066,6344,finance university under russian federation government,russian federation,moskva,,http://www.fa.ru/
4067,6345,finlandia university,united states,hancock,michigan,http://www.finlandia.edu
4068,6349,firat euphrates university,turkey,elazig,,http://www.firat.edu.tr
4070,6351,first city providential college,philippines,san jose del monte,bulacan,http://fcpc01.wordpress.com/about-fcpc/the-founder
4071,6353,fisher college,united states,boston,massachusetts,http://www.fisher.edu
4072,6354,fisk university,united states,nashville,tennessee,http://www.fisk.edu
4076,6360,flagler college,united states,saint augustine,florida,http://www.flagler.edu
4077,6361,flight dynamic school aeronautics,philippines,lapu lapu city,cebu,
4078,6362,flight school international,philippines,pasay city,"fourth district, metro manila",http://www.fsicollege.com
4079,6363,flinders university,australia,adelaide,south australia,http://www.flinders.edu.au
4080,6364,florida agricultural mechanical university florida state university,united states,tallahassee,florida,http://www.famu.edu
4081,6365,florida atlantic university,united states,boca raton,florida,http://www.fau.edu
4082,6367,johnson university florida,united states,kissimmee,florida,http://www.johnsonu.edu/Florida/Home.aspx
4084,6371,florida gulf coast university,united states,fort myers,florida,http://www.fgcu.edu
4087,6374,florida international university,united states,miami,florida,http://www.fiu.edu
4088,6375,florida memorial university,united states,miami gardens,florida,http://www.fmuniv.edu
4089,6377,florida southern college,united states,lakeland,florida,http://www.flsouthern.edu
4090,6378,florida state university,united states,tallahassee,florida,http://www.fsu.edu
4092,6381,folkwang university arts,germany,essen,,http://www.folkwang-uni.de
4093,6382,fon university,macedonia,skopje,,http://www.fon.edu.mk
4095,6385,fontys university applied sciences,netherlands,eindhoven,,http://www.fontys.nl
4097,6387,ford academy arts,philippines,davao city,davao del sur,
4098,6388,fordham university,united states,bronx,new york,http://www.fordham.edu
4099,6389,fore school management,india,new delhi,,http://fsm.ac.in/
4101,6393,forman christian college,pakistan,lahore,punjab,http://www.fccollege.edu.pk/
4102,6394,fort hays state university,united states,hays,kansas,http://www.fhsu.edu
4103,6395,fort lewis college,united states,durango,colorado,http://www.fortlewis.edu
4104,6396,fort valley state university,united states,fort valley,georgia,http://www.fvsu.edu
4105,6397,fortunato f halili national agricultural school,philippines,santa maria,bulacan,
4106,6398,fortune institute international business,india,new delhi,,http://fiib.edu.in/
4107,6399,fortune institute technology,taiwan,kaohsiung,,http://www.fjtc.edu.tw
4109,6402,foundation professional development,south africa,lynnwood ridge,,http://www.foundation.co.za
4111,6404,foundation university,philippines,dumaguete city,negros oriental,http://www.foundationu.com
4112,6405,fountain university,nigeria,osogbo,osun state,http://www.fountainuniversity.edu.ng
4113,6407,framingham state college,united states,framingham,massachusetts,http://www.framingham.edu/
4114,6408,francis marion university,united states,florence,south carolina,http://www.fmarion.edu
4115,6409,franciscan college immaculate conception,philippines,baybay,leyte,http://www.fcic.net.ph
4116,6411,franciscan university steubenville,united states,steubenville,ohio,http://www.franciscan.edu
4118,6413,frankfurt school finance management,germany,frankfurt am main,,http://www.frankfurt-school.de
4119,6414,franklin marshall college,united states,lancaster,pennsylvania,http://www.fandm.edu
4127,6424,freed hardeman university,united states,henderson,tennessee,http://www.fhu.edu
4128,6426,free university berlin,germany,berlin,,http://www.fu-berlin.de
4129,6428,fresno pacific university,united states,fresno,california,http://www.fresno.edu
4130,6429,friedrich alexander university erlangen nuremberg,germany,erlangen,bavaria,http://www.fau.de
4131,6431,friedrich schiller university jena,germany,jena,,http://www.uni-jena.de
4132,6432,friends university,united states,wichita,kansas,http://www.friends.edu
4134,6434,frontier nursing university,united states,hyden,kentucky,http://www.midwives.org
4136,6436,frostburg state university,united states,frostburg,maryland,http://www.frostburg.edu
4137,6438,fu jen catholic university,taiwan,new taipei city,,http://www.fju.edu.tw
4138,6439,fucape business school,brazil,vitoria,es,http://www.fucape.br
4139,6440,fudan university,china,shanghai,shanghai,http://www.fudan.edu.cn
4142,6443,fuji tokoha university,japan,shizuoka,shizuoka,http://www.fuji-tokoha-u.ac.jp
4143,6444,fujian agriculture forestry university,china,fuzhou,fujian province,http://www.fjau.edu.cn
4145,6446,fujian normal university,china,fuzhou,fujian province,http://www.fjtu.edu.cn
4146,6447,fujian university traditional chinese medicine,china,fuzhou,fujian province,http://www.fjtcm.edu.cn
4148,6449,university fukui,japan,fukui shi,fukui,http://www.u-fukui.ac.jp
4149,6450,fukui prefectural university,japan,yoshida gun,fukui,http://www.fpu.ac.jp
4150,6451,fukui university technology,japan,fukui shi,fukui,http://www.fukui-ut.ac.jp
4151,6452,fukuoka university,japan,fukuoka shi,fukuoka,http://www.fukuoka-u.ac.jp
4152,6453,fukuoka social medical welfare university,japan,dazaifu shi,fukuoka,http://www.dfu.ac.jp/
4155,6456,fukuoka prefectural university,japan,tagawa shi,fukuoka,http://www.fukuoka-pu.ac.jp
4157,6458,fukuoka international university,japan,daizaifu shi,fukuoka,http://www.fukuoka-int-u.ac.jp/
4158,6459,fukuoka university education,japan,munakata,fukuoka,http://www.fukuoka-edu.ac.jp
4162,6463,fukuyama university,japan,fukuyama shi,hiroshima,http://www.fukuyama-u.ac.jp
4163,6464,fukuyama heisei university,japan,fukuyama shi,hiroshima,http://www.heisei-u.ac.jp
4164,6465,fukuyama city university,japan,fukuyama city,hiroshima,http://www.fcu.ac.jp/
4165,6467,fullbright college,philippines,puerto princesa city,palawan,
4168,6472,faculty accounting administrative sciences camaqua,brazil,camaqua,rs,http://www.fundasul.br
4169,6473,higher education foundation clevelandia,brazil,clevelandia,pr,http://www.fescpr.edu.br
4171,6476,faculty philosophy science letters duque de caxias,brazil,duque de caxias,rio de janeiro,http://www.feuduc.edu.br
4172,6477,integrated faculties fernandopolis,brazil,fernandopolis,sp,http://www.fef.br
4173,6478,foundation school sociology political science sao paulo,brazil,sao paulo,sao paulo,http://www.fespsp.org.br
4176,6481,federal university foundation grande dourados,brazil,dourados,mato grosso do sul,http://www.ufgd.edu.br
4177,6482,federal university foundation rondonia,brazil,porto velho,rondonia,http://www.unir.br
4178,6483,federal university foundation rio grande,brazil,rio grande,rio grande,http://www.furg.br
4179,6487,arturo rosenblueth foundation scientific development,mexico,mexico,d.f.,http://www.rosenblueth.mx
4180,6493,comfanorte foundation advanced studies,colombia,san jose de cucuta,norte de santander,http://www.fesc.edu.co
4187,6511,latina university institution,colombia,bogota,,http://www.unilatina.edu.co
4188,6513,agrarian university foundation colombia,colombia,bogota,,http://www.uniagraria.edu.co
4189,6514,autonomous university foundation americas,colombia,medellin,antioquia,http://www.uam.edu.co
4191,6516,catholic university foundation north,colombia,santa rosa de osos,antioquia,http://www.ucn.edu.co
4192,6517,lumen gentium catholic university foundation,colombia,cali,valle del cauca,http://www.unicatolica.edu.co
4193,6518,ceipa university foundation,colombia,sabaneta,antioquia,http://www.ceipa.edu.co
4194,6519,international colombo university foundation,colombia,cartagena de indias,bolivar,http://www.unicolombo.edu.co
4195,6520,university foundation health sciences,colombia,bogota,,http://www.fucsalud.edu.co
4196,6522,popayan university foundation,colombia,popayan,cauca,http://www.fup.edu.co
4201,6527,inpahu university foundation,colombia,bogota,,http://www.inpahu.edu.co
4203,6529,juan de castellanos university foundation,colombia,tunja,boyoca,http://www.jdc.edu.co
4204,6530,juan n corpas university foundation,colombia,bogota,,http://www.juanncorpas.edu.co
4205,6531,konrad lorenz university foundation,colombia,bogota,,http://www.fukl.edu
4206,6532,los libertadores university foundation,colombia,bogota,,http://www.ulibertadores.edu.co
4211,6537,san alfonso university foundation,colombia,bogota,,http://www.fusa.edu.co
4212,6538,san martin university foundation,colombia,bogota,,http://www.sanmartin.edu.co
4213,6539,sanitas university foundation,colombia,bogota,,http://www.unisanitas.edu.co
4217,6543,future academy,egypt,ismailia,,http://futureacademyegypt.com/english/index.html
4218,6544,future university,egypt,new cairo,,http://www.futureuniversity.edu.eg
4219,6546,fuyang teachers college,china,fuyang,anhui province,http://www.fync.edu.cn/ch2008/index.html
4220,6547,fuzeko polytechnic college,philippines,solano,nueva vizcaya,
4221,6548,fuzhou university,china,fuzhou,fujian province,http://www.fzu.edu.cn
4223,6556,dennis gabor college,hungary,budapest,,http://www.gdf.hu
4224,6558,gachon university,south korea,incheon si,,http://www.gachon.ac.kr
4227,6562,gakushuin university,japan,tokyo,,http://www.gakushuin.ac.jp/univ/
4228,6563,gakushuin women college,japan,tokyo,,http://www2.gwc.gakushuin.ac.jp
4230,6565,galatasaray university,turkey,ortakoy/istanbul,,http://www.gsu.edu.tr
4232,6567,galgotias university,india,greater noida,uttar pradesh,http://www.galgotiasuniversity.edu.in/
4233,6568,gallaudet university,united states,washington,district of columbia,http://www.gallaudet.edu
4234,6569,university aden,yemen,khormaksar aden,aden governorate,http://www.aden-univ.net
4236,6573,gandhara university,pakistan,peshawar,khyber pakhtunkhwa,http://www.gandhara.edu.pk
4238,6575,gandja state university,azerbaijan,gandja,,http://www.gsu.az
4239,6576,gangneung wonju national university,south korea,gangneung si,gangwon-do,http://www.gwnu.ac.kr/
4240,6577,gani l abpi colleges,philippines,datu piang,maguindanao,
4241,6578,gannan medical university,china,ganzhou,jiangxi province,http://www.gnmc.net.cn/bumen/gjxy/gmu.html
4242,6579,gannan normal university,china,ganzhou,jiangxi province,http://www.gntc.net.cn
4246,6583,gansu college traditional chinese medicine,china,lanzhou,gansu province,http://www.gszy.edu.cn
4247,6584,gansu institute political science law,china,lanzhou,gansu province,http://www.gsli.edu.cn
4249,6586,garda college,ireland,tipperary,,http://www.gardacollegelms.ie/
4251,6588,gardner webb university,united states,boiling springs,north carolina,http://www.gardner-webb.edu
4254,6591,gautam buddha university,india,gautam budh nagar,uttar pradesh,http://www.gbu.ac.in/
4255,6592,gavar state university,armenia,gavar,gegharkunik region,http://gsu.am
4256,6593,gazi university,turkey,ankara,,http://www.gazi.edu.tr
4257,6594,gaziantep university,turkey,sehitkamil/gaziantep,,http://www.gantep.edu.tr
4258,6595,gaziosmanpasa university,turkey,tokat,,http://www.gop.edu.tr
4262,6599,medical university gdansk,poland,gdansk,pomorskie,http://www.amg.gda.pl
4265,6602,gedik university,turkey,istanbul,,http://www.gedik.edu.tr/
4267,6604,national academy fine arts,armenia,yerevan,,http://www.education.am/english/education/NAFA.htm
4268,6605,gemological institute america,united states,carlsbad,california,http://www.gia.edu
4269,6606,general de jesus college,philippines,san isidro,nueva ecija,http://gendejesus.edu.ph
4271,6608,general sir john kotelawala defence university,sri lanka,colombo,,http://www.kdu.ac.lk
4273,6610,geneva college,united states,beaver falls,pennsylvania,http://www.geneva.edu
4275,6612,university geomedi,georgia,tbilisi,,http://geosis.edu.ge/cms/en/
4276,6613,georg august university gottingen,germany,gottingen,,http://www.uni-goettingen.de
4277,6614,georg simon ohm university applied sciences nuremberg,germany,nurnberg,,http://www.fh-nuernberg.de
4278,6615,george brown college,canada,toronto,ontario,http://www.georgebrown.ca/
4279,6616,george fox university,united states,newberg,oregon,http://www.georgefox.edu
4280,6617,george mason university,united states,fairfax,virginia,http://www.gmu.edu
4282,6619,georgetown university,united states,washington,district of columbia,http://www.georgetown.edu
4284,6621,georgia gwinnett college,united states,lawrenceville,georgia,http://www.ggc.edu
4285,6622,georgia institute technology,united states,atlanta,georgia,http://www.gatech.edu
4286,6623,georgia southern university,united states,statesboro,georgia,http://www.georgiasouthern.edu/
4287,6624,georgia southwestern state university,united states,americus,georgia,http://www.gsw.edu
4288,6625,georgia state university,united states,atlanta,georgia,http://www.gsu.edu
4290,6627,georgian court university,united states,lakewood,new jersey,http://www.georgian.edu
4292,6629,reformed university applied sciences,netherlands,zwolle,,http://www.viaa.nl
4293,6635,german graduate school management law heilbronn,germany,heilbronn,,http://www.ggs.de
4295,6641,gerrit rietveld academy,netherlands,amsterdam,,http://www.rietveldacademie.nl
4296,6642,gettysburg college,united states,gettysburg,pennsylvania,http://www.gettysburg.edu
4298,6645,ghana baptist university college,ghana,kumasi,,http://gbuc.edu.gh/
4300,6647,ghana institute journalism,ghana,accra,,http://www.gij.edu.gh
4301,6648,ghana institute management public administration,ghana,accra,,http://www.gimpa.edu.gh/
4302,6649,ghana school marketing,ghana,accra,,http://www.cimghana.org
4304,6651,ghazni university,afghanistan,ghazni,,http://www.ghi.edu.af
4307,6654,gifu university,japan,gifu shi,gifu,http://www.gifu-u.ac.jp
4309,6656,gifu women university,japan,gifu shi,gifu,http://www.gijodai.ac.jp
4310,6657,gifu keizai university,japan,ogaki shi,gifu,http://www.gifu-keizai.ac.jp
4312,6659,gifu shotoku gakuen university,japan,hashima gun,gifu,http://www.shotoku.ac.jp/
4313,6660,gifu pharmaceutical university,japan,gifu,gifu,http://www.gifu-pu.ac.jp
4315,6662,giresun university,turkey,giresun,,http://www.giresun.edu.tr
4316,6664,girne american university,turkey,girne,mersin,http://www.gau.edu.tr
4317,6665,gitam university,india,visakhapatnam,andhra pradesh,http://www.gitam.edu
4320,6668,glasgow caledonian university,united kingdom,glasgow,,http://www.caledonian.ac.uk
4322,6671,glenville state college,united states,glenville,west virginia,http://www.glenville.edu
4325,6674,global city innovative college,philippines,taguig city,"fourth district, metro manila",http://www.gcic.edu.ph
4326,6675,global colleges,saudi arabia,riyadh,,http://globalcolleges.edu.sa/
4327,6680,glyndwr university,united kingdom,wrexham,,http://www.glyndwr.ac.uk
4328,6681,humanistic manager milennium higher school gniezno,poland,gniezno,wielkopolskie,http://milenium.edu.pl
4331,6684,god bible school college,united states,cincinnati,ohio,http://www.gbs.edu
4332,6685,goddard college,united states,plainfield,vermont,http://www.goddard.edu
4333,6687,goethe university frankfurt am main,germany,frankfurt am main,,http://www.uni-frankfurt.de
4335,6690,golden gate colleges,philippines,batangas city,batangas,http://goldengatecolleges.wordpress.com
4336,6691,golden gate university,united states,san francisco,california,http://www.ggu.edu
4337,6692,golden heritage polytechnic college,philippines,cagayan de oro city,misamis oriental,
4339,6694,golden west colleges,philippines,alaminos city,pangasi,
4341,6696,goldey beacom college,united states,wilmington,delaware,http://www.gbc.edu
4342,6697,goldfarb school nursing barnes jewish college,united states,st. louis,missouri,http://www.barnesjewishcollege.edu
4343,6698,gomal university,pakistan,peshawar,khyber pakhtunkhwa,http://www.gu.edu.pk
4344,6699,gomal university wensam college,pakistan,dera ismail khan,north west frontier province,
4345,6700,gombe state university,nigeria,gombe,gombe state,http://gsu.edu.ng
4346,6701,gomel state medical university,belarus,gomel,,http://www.gsmu.by/
4348,6703,francisk skorina gomel state university,belarus,gomel,,http://www.gsu.by
