a_id,a_id,a_name,a_country,a_city,a_prov,a_web
109,172,ago foundation college,philippines,naga city,camarines sur,
110,173,ago medical educational center bicol christian college medicine,philippines,legazpi city,albay,http://www.amec-bccm.com
112,175,agoo computer college phils,philippines,agoo,la union,
114,177,agricultural university hebei,china,baoding,hebei province,http://www.hebau.edu.cn
118,181,national school advanced agronomy studies dijon,france,dijon,cedex,http://www.agrosupdijon.fr
119,182,agusan business arts foundation,philippines,butuan city,agusan del norte,
120,183,agusan colleges,philippines,butuan city,agusan del norte,http://www.agusancolleges.edu.ph
122,185,agusan del sur state college agriculture technology,philippines,bunawan,agusan del sur,
123,186,agusan institute technology,philippines,butuan city,agusan del norte,
125,188,ahlia university,bahrain,manama,,http://www.ahliauniversity.edu.bh/
126,189,ahmadu bello university,nigeria,zaria,,http://www.abu.edu.ng
127,190,ahmedabad university,india,ahmedabad,gujarat,http://www.ahduni.edu.in
128,191,ahsanullah university science technology,bangladesh,dhaka,,http://www.aust.edu
129,192,ahvaz jondishapour university medical sciences,iran,ahvaz,,http://www.ajums.ac.ir
130,194,aichi bunkyo university,japan,komaki shi,aichi-ken,http://www.abu.ac.jp
132,196,aichi gakuin university,japan,nisshin shi,aichi,http://www.agu.ac.jp/
134,198,aichi medical university,japan,aichi gun,aichi,http://www.aichi-med-u.ac.jp/index.html
135,199,aichi prefectural university,japan,nagakute shi,aichi-ken,http://www.aichi-pu.ac.jp
136,200,aichi prefectural university fine arts music,japan,aichi gun,aichi,http://www.aichi-fam-u.ac.jp
139,203,aichi university technology,japan,gamagori shi,aichi,http://www.aut.ac.jp
141,205,aichi mizuho college,japan,toyota shi,aichi,http://amc.mizuho-c.ac.jp
143,207,aichi shinshiro otani university,japan,shinshiro,aichi,http://www.owari.ac.jp/shinshiro
144,208,aichi shukutoku university,japan,aichi gun,aichi,http://www.aasa.ac.jp
145,209,aichi toho university,japan,meito ku,nagoya,http://www.aichi-toho.ac.jp/english/
147,211,ain shams university,egypt,cairo,,http://www.asu.edu.eg
148,212,aino university,japan,ibaraki,osaka,http://univ.aino.ac.jp/
149,213,air link international aviation college,philippines,pasay city,"fourth district, metro manila",http://www.airlinkinternationalaviation.com
152,216,ais st helens,new zealand,auckland,,http://www.ais.ac.nz
154,218,university aizu,japan,aizuwakamatsu shi,fukushima,http://www.u-aizu.ac.jp
157,221,ajloun national private university,jordan,ajloun,,http://www.anpu.edu.jo
158,222,ajman university science technology,united arab emirates,ajman,,http://www.ajman.ac.ae
159,223,ajou university,south korea,suwon si,gyeonggi-do,http://www.ajou.ac.kr
160,226,akad university applied sciences,germany,stuttgart,,https://www.akad.de/
161,633,university arts,albania,tirane,,http://www.artacademy.al
163,636,agh university science technology krakow,poland,krakow,malopolskie,http://www.agh.edu.pl
164,637,aleksander gieysztor academy humanities pultusk,poland,pultusk,mazowieckie,http://ah.edu.pl
165,638,university humanities economics lodz,poland,lodz,lodzkie,http://www.ahe.lodz.pl
167,640,jan dlugosz university czestochowa,poland,czestochowa,slaskie,http://www.ajd.czest.pl
168,641,kozminski university warsaw,poland,warszawa,mazowieckie,http://www.kozminski.edu.pl
169,642,polish naval academy gdynia,poland,gdynia,pomorskie,http://www.amw.gdynia.pl
170,643,wroclaw medical university,poland,wroclaw,dolnoslaskie,http://www.am.wroc.pl
171,644,gdynia maritime university,poland,gdynia,pomorskie,http://www.am.gdynia.pl
173,646,feliks nowowiejski academy music bydgoszcz,poland,bydgoszcz,kujawsko-pomorskie,http://www.amuz.bydgoszcz.pl
174,647,grazyna kiejstut bacewicz academy music lodz,poland,lodz,lodzkie,http://www.amuz.lodz.pl
176,649,karol lipinski academy music wroclaw,poland,wroclaw,dolnoslaskie,http://www.amuz.wroc.pl
177,650,karol szymanowski academy music katowice,poland,katowice,slaskie,http://www.am.katowice.pl
179,652,academy music krakow,poland,krakow,malopolskie,http://www.amuz.krakow.pl
182,655,academy police force bratislava,slovak republic,bratislava,,http://www.akademiapz.sk
183,656,polonia university czestochowa,poland,czestochowa,slaskie,http://www.ap.edu.pl
184,657,pomeranian academy slupsk,poland,slupsk,pomorskie,http://www.apsl.edu.pl
187,660,strzeminski academy art lodz,poland,lodz,lodzkie,http://www.asp.lodz.pl
188,661,academy fine arts gdansk,poland,gdansk,pomorskie,http://www.asp.gda.pl
189,662,academy fine arts katowice,poland,katowice,slaskie,http://www.aspkat.edu.pl
190,663,academy fine arts warsaw,poland,warszawa,mazowieckie,http://www.asp.waw.pl
191,664,aleksander zelwerowicz state atre academy,poland,warszawa,mazowieckie,http://www.at.edu.pl
192,665,university bielsko biala,poland,bielsko biala,slaskie,http://www.ath.bielsko.pl
193,666,academy art banska bystrica,slovak republic,banska bystrica,,http://www.aku.sk
194,667,jedrzej sniadecki academy physical education sport gdansk,poland,gdansk,pomorskie,http://www.awf.gda.pl
195,668,university school physical education krakow,poland,krakow,malopolskie,http://www.awf.krakow.pl
196,669,university school physical education poznan,poland,poznan,wielkopolskie,http://www.awf.poznan.pl
197,670,jerzy kukuczka academy physical education,poland,katowice,slaskie,http://www.awf.katowice.pl
198,671,jozef pilsudski academy physical education warsaw,poland,warszawa,mazowieckie,http://www.awf.edu.pl
202,676,academy fine arts vienna,austria,wien,vienna,http://www.akbild.ac.at
203,677,academy performing arts prague,czech republic,praha 1,,http://www.amu.cz
204,678,sting academy p b c,czech republic,brno,,http://www.sting.cz
205,679,academy fine arts prague,czech republic,praha 7,,http://www.avu.cz
208,682,academic law institute,russian federation,moskva,,http://www.apu.edu.ru/
209,683,kokshe academy,kazakhstan,kokshetau,,http://www.koksheacademy.kz/
210,684,national academy state tax service ukraine,ukraine,irpin,kyiv region,http://www.asta.edu.ua
211,686,academy economic security,russian federation,moskva,,http://www.econsafety.ru/
212,687,academy economics law,kazakhstan,almaty,,http://www.aep.kz
213,688,o a dzholdasbekov academy economics law,kazakhstan,taldykorgan,,http://vuz.ucoz.kz/
215,692,academy federal security service russian federation,russian federation,orjol,,http://academ.msk.rsnet.ru/
216,694,academy public administration under president kazakhstan,kazakhstan,astana,,http://pa-academy.kz
218,696,academy civil aviation,kazakhstan,almaty,,http://www.agakaz.kz
222,703,academy marketing social information technology,russian federation,krasnodar,,http://www.imsit.ru
223,704,academy innovation management institute,russian federation,moskva,,http://www.mosobrsouz.ru
225,707,ukrainian academy customs,ukraine,dnipropetrovsk,dnipropetrovsk region,http://amsu.dp.ua/
226,708,academy municipal management kyiv,ukraine,kyiv,kyiv region,http://www.amu.kiev.ua
227,709,academy labour social relations tourism,ukraine,kyiv,kyiv region,http://www.socosvita.kiev.ua/
229,711,academy law management federal penal service,russian federation,rjazan,,http://apu-fsin.ru/
232,714,academy socio economic development institute,russian federation,moskva,,http://www.as-ed.ru
