person_id,person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
628,2760,,toronto,on,canada,gmail.com,gmail
8083,57007,university texas arlington,arlington,texas,united states,uta.edu,uta
2869,17866,university surrey,guildford,,united kingdom,surrey.ac.uk,surrey
6191,46708,cornell university,ithaca,new york,united states,cornell.edu,cornell
714,3200,university south alabama,mobile,alabama,united states,southalabama.edu,southalabama
9518,60041,office governor john kitzhaber oregon,washington,district of columbia,united states,state.or.us,or
9321,59468,chinese university hong kong,nt,,hong kong,baf.cuhk.edu.hk,cuhk
4738,35266,helmut schmidt university,hamburg,,germany,hsu-hh.de,hsu-hh
2503,14416,east tennessee state university,johnson city,tennessee,united states,etsu.edu,etsu
9402,59645,sustainable business network greater philadelphia,philadelphia,pennsylvania,united states,sbnphiladelphia.org,sbnphiladelphia
5720,43105,monash university,caulfield,victoria,australia,monash.edu,monash
6115,46287,copenhagen business school,frederiksberg,,denmark,cbs.dk,cbs
2261,12655,university toronto,toronto,on,canada,rotman.utoronto.ca,utoronto
1664,7852,renmin university china,beijing,,china,gmail.com,gmail
469,2017,ghent university,gent,,belgium,ugent.be,ugent
8800,58424,stanford university,stanford,california,united states,stanford.edu,stanford
3954,28610,tsinghua sem,beijing,beijing,china,sem.tsinghua.edu.cn,tsinghua
5486,41607,technical university denmark,kgs. lyngby,copenhagen,denmark,dtu.dk,dtu
1234,5671,technion israel institute technology,haifa,,israel,ie.technion.ac.il,technion
6348,47671,oslo and akershus university college applied sciences,asker,,norway,hioa.no,hioa
9323,59471,university west florida,pensacola,florida,united states,students.uwf.edu,uwf
9333,59486,university central florida,orlando,florida,united states,ucf.edu,ucf
1318,6060,university michigan,ann arbor,michigan,united states,umich.edu,umich
7668,56138,accenture,amsterdam,,netherlands,accenture.com,accenture
3712,26040,national dong hwa university,hualien,taiwan,taiwan,mail.ndhu.edu.tw,ndhu
7258,53835,university manchester,manchester,,united kingdom,hotmail.com,hotmail
2649,15550,london business school,london,,united kingdom,london.edu,london
9427,59715,thomas m cooley law school,hoboken,new jersey,united states,cooley.edu,cooley
479,2066,florida atlantic university,boca raton,florida,united states,fau.edu,fau
