person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
8039,university houston,pearland,texas,united states,uh.edu,uh
8066,brock university,st. catharines,on,canada,brocku.ca,brocku
8067,university illinois chicago,aurora,illinois,united states,uic.edu,uic
8080,duke university,durham,north carolina,united states,duke.edu,duke
8090,iese business school,barcelona,spain,spain,iese.edu,iese
8091,university maryland,college park,maryland,united states,rhsmith.umd.edu,umd
8127,technical university munich,munchen,bavaria,germany,tum.de,tum
8130,new york university,brooklyn,new york,united states,nyu.edu,nyu
8131,indiana university bloomington,bloomington,indiana,united states,indiana.edu,indiana
8135,university central florida,chuluota,florida,united states,gmail.com,gmail
8136,york university,toronto,on,canada,yorku.ca,yorku
8154,wilfrid laurier university,waterloo,on,canada,wlu.ca,wlu
